County,2011 Pop, 2011 Percentage,2012 Population,2012 Percentage, 2013 Population, 2013 Percentage, 2014 Population, 2014 Percentage,2015 Population, 2015 Percentage, 2016 Population, 2016 Percentage,2017 Population, 2017 Percentage,2018 Population, 2018 Percentage, 2019 Population, 2019 Percentage,2020 Population, 2020 Percentage, 2021 Population, 2021 Percentage
Horry,"51,367",18.80%,"54,748",19.60%,"54,572",19.10%,"52,066",17.60%,"50,839",16.70%,"47,767",15.00%,"52,862",16.10%,"48,595",14.30%,"44,197",12.70%,"46,156",12.80%,"45,501",12.60%
Jasper,"6,105",25.80%,"6,137",25.20%,"6,835",27.20%,"6,285",24.50%,"6,122",23.20%,"5,570",20.70%,"5,348",19.90%,"5,263",19.00%,"4,941",17.20%,"5,584",18.40%,"4,723",16.10%
Kershaw,"11,407",18.50%,"9,961",16.10%,"10,125",16.30%,"10,894",17.40%,"9,741",15.50%,"9,941",15.60%,"9,309",14.40%,"9,431",14.50%,"9,088",13.80%,"9,620",14.40%,"9,225",14.00%
Lancaster,"13,988",18.50%,"15,295",19.90%,"14,696",18.80%,"15,925",19.70%,"12,001",14.40%,"11,381",13.00%,"12,319",13.60%,"12,446",13.30%,"11,258",11.80%,"11,249",11.40%,"11,670",11.80%
Laurens,"14,819",23.10%,"13,986",21.90%,"14,737",23.00%,"13,557",21.10%,"12,124",18.90%,"11,753",18.20%,"14,138",21.90%,"12,768",19.70%,"12,447",19.10%,"12,132",18.40%,"12,161",18.50%
Lee,"5,186",30.40%,"4,989",29.80%,"5,378",32.80%,"4,548",27.80%,"4,581",28.30%,"4,443",27.70%,"4,075",25.80%,"4,376",28.10%,"3,890",25.40%,"3,470",23.00%,"3,817",25.90%
Lexington,"38,243",14.50%,"39,034",14.60%,"34,587",12.80%,"37,932",13.80%,"36,805",13.20%,"33,254",11.70%,"33,761",11.70%,"36,432",12.50%,"35,210",11.90%,"31,262",10.40%,"32,988",11.10%
McCormick,"1,710",19.60%,"1,906",22.10%,"1,889",21.90%,"2,105",24.60%,"1,640",19.20%,"1,538",18.10%,"1,560",18.50%,"1,564",18.60%,"1,533",18.10%,"1,443",17.00%,"1,720",19.50%
Marion,"10,295",31.60%,"8,390",26.00%,"9,762",30.70%,"9,517",30.10%,"7,663",24.40%,"7,915",25.20%,"8,522",27.50%,"7,841",25.50%,"7,562",24.90%,"6,516",21.80%,"8,347",29.20%
Marlboro,"8,191",32.50%,"7,062",28.40%,"7,709",31.30%,"7,700",31.40%,"6,838",28.20%,"6,743",28.10%,"6,717",28.00%,"7,104",30.00%,"6,750",28.90%,"6,001",26.00%,"5,752",24.10%
Newberry,"7,317",20.00%,"6,361",17.50%,"7,170",19.80%,"7,084",19.40%,"6,997",19.10%,"6,967",18.90%,"7,080",19.00%,"6,362",17.10%,"5,198",14.00%,"6,100",16.40%,"5,489",14.90%
Oconee,"13,953",19.00%,"12,955",17.50%,"12,484",16.80%,"12,986",17.50%,"13,493",18.00%,"11,021",14.60%,"12,237",16.00%,"11,159",14.40%,"10,268",13.10%,"8,833",11.10%,"12,882",16.40%
Orangeburg,"21,439",24.20%,"22,196",25.20%,"22,501",25.70%,"26,705",30.80%,"20,575",24.00%,"19,239",22.70%,"20,595",24.40%,"21,733",25.90%,"21,821",26.30%,"15,695",19.10%,"21,206",26.50%
Pickens,"22,193",19.80%,"21,012",18.70%,"21,060",18.70%,"22,174",19.50%,"20,751",18.10%,"17,297",14.90%,"17,775",15.30%,"19,471",16.60%,"18,055",15.30%,"18,343",15.30%,"21,938",17.80%
Richland,"66,542",18.60%,"61,197",16.90%,"68,491",18.60%,"59,816",16.10%,"59,495",15.80%,"61,910",16.40%,"64,234",16.90%,"64,210",16.70%,"62,567",16.20%,"62,651",16.00%,"66,286",17.00%
Saluda,"3,709",18.90%,"3,428",17.40%,"4,396",22.10%,"4,072",20.60%,"3,623",18.30%,"3,329",16.70%,"3,625",18.00%,"3,017",14.90%,"3,247",16.10%,"3,495",17.40%,"3,067",16.50%
Spartanburg,"53,098",19.00%,"54,389",19.40%,"52,982",18.70%,"50,359",17.70%,"43,326",15.00%,"45,637",15.60%,"41,025",13.70%,"41,706",13.60%,"40,129",12.90%,"45,129",14.20%,"44,859",13.70%
Sumter,"18,429",17.60%,"20,990",19.90%,"21,893",20.80%,"24,393",23.20%,"20,492",19.60%,"21,320",20.40%,"19,818",19.10%,"19,418",18.70%,"18,444",17.80%,"21,301",20.50%,"20,439",20.00%
Union,"5,730",20.30%,"6,102",22.00%,"5,143",18.70%,"5,376",19.60%,"6,305",23.20%,"5,756",21.20%,"4,871",18.00%,"5,485",20.40%,"5,347",19.90%,"3,949",14.90%,"5,354",20.10%
Williamsburg,"10,062",30.90%,"9,924",30.90%,"10,562",33.40%,"8,838",28.30%,"10,422",33.60%,"9,141",29.80%,"8,050",26.80%,"7,726",26.00%,"8,148",27.80%,"7,341",25.40%,"6,280",21.20%
York,"34,223",15.10%,"30,075",13.00%,"29,799",12.70%,"35,172",14.60%,"30,789",12.50%,"27,264",10.70%,"29,456",11.20%,"26,453",9.80%,"23,679",8.60%,"25,145",8.80%,"27,670",9.70%

