Per Capita Personal Income by County 2011-2021,,,,,,,,,,,,,,,,,,,,,,
County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Marlboro,"$23,474","$24,254","$25,912","$26,299","$27,363","$28,827","$29,551","$30,860","$31,256","$34,189","$37,933"
Newberry,"$31,382","$32,323","$33,217","$34,074","$35,917","$36,224","$37,150","$37,699","$40,342","$43,190","$46,917"
Oconee,"$35,108","$35,710","$35,988","$37,900","$39,636","$40,839","$42,922","$44,607","$46,804","$48,945","$52,336"
Orangeburg,"$28,174","$28,212","$28,838","$29,976","$31,128","$31,857","$33,161","$34,236","$35,639","$38,860","$42,376"
Pickens,"$30,209","$31,425","$32,046","$33,152","$34,405","$35,244","$36,613","$37,583","$39,339","$41,135","$43,842"
Richland,"$36,842","$37,888","$38,441","$40,210","$41,894","$42,546","$44,064","$45,052","$47,123","$49,808","$52,980"
Saluda,"$29,461","$30,569","$31,925","$32,441","$34,976","$34,640","$36,084","$36,133","$37,994","$40,423","$44,503"
Spartanburg,"$33,896","$36,130","$35,059","$37,946","$39,458","$40,784","$41,352","$42,141","$45,010","$47,641","$50,596"
Sumter,"$31,784","$33,322","$33,405","$34,591","$35,526","$36,368","$37,576","$38,876","$40,042","$42,961","$47,046"
Union,"$26,909","$27,393","$27,550","$28,802","$29,875","$29,708","$30,917","$32,245","$34,503","$37,527","$40,821"
Williamsburg,"$26,660","$25,976","$26,881","$27,811","$28,401","$29,370","$30,407","$31,362","$33,664","$37,456","$40,746"
York,"$36,133","$38,320","$38,367","$40,220","$42,159","$44,100","$46,139","$47,853","$50,047","$52,800","$56,566"
,,,,,,,,,,,
"Source:  U.S. Department of Commerce, Bureau of Economic Analysis, Regional Economic Information System, https://apps.bea.gov/itable/?ReqID=70&step=1",,,,,,,,,,,
,,,,,,,,,,,
Notes:  ,,,,,,,,,,,
"2/ Per capita personal income was computed using Census Bureau midyear population estimates. BEA produced intercensal annual county population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020. BEA developed intercensal population statistics because this data was not published when Census released county population data for 2020 and 2021, which are based on the 2020 decennial counts. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,,,,,,,,,
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,,,,,,,,,,
All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.,,,,,,,,,,,
"Last updated: November 16, 2022-- new statistics for 2021;  revised statistics for 2011-2020.",,,,,,,,,,,
